city,cases,case-rate,deaths,death-rate,date
Los Angeles - Koreatown,1627,3147,36,70,11/29/20
Los Angeles - Lafayette Square,162,3553,3,66,11/29/20
Los Angeles - Lake Balboa,1680,3980,22,52,11/29/20
Los Angeles - Lakeview Terrace,823,6267,26,198,11/29/20
Los Angeles - Leimert Park,484,3177,7,46,11/29/20
Los Angeles - Lincoln Heights,1576,4835,52,160,11/29/20
Los Angeles - Little Armenia,474,5907,53,660,11/29/20
Los Angeles - Little Bangladesh,765,2699,6,21,11/29/20
Los Angeles - Little Tokyo,141,4500,2,64,11/29/20
Los Angeles - Longwood,159,3694,0,0,11/29/20
Los Angeles - Los Feliz,375,1735,3,14,11/29/20
Los Angeles - Manchester Square,278,3257,6,70,11/29/20
Los Angeles - Mandeville Canyon,40,1280,0,0,11/29/20
Los Angeles - Mar Vista,549,1293,7,16,11/29/20
Los Angeles - Marina Peninsula,58,1330,1,23,11/29/20
Los Angeles - Melrose,2866,3689,82,106,11/29/20
Los Angeles - Mid-city,387,2575,23,153,11/29/20
Los Angeles - Miracle Mile,305,1696,6,33,11/29/20
Los Angeles - Mission Hills,1394,5778,58,240,11/29/20
Los Angeles - Mt. Washington,818,3388,19,79,11/29/20
Los Angeles - North Hills,2977,4835,51,83,11/29/20
Los Angeles - North Hollywood,6488,4285,88,58,11/29/20
Los Angeles - Northridge,2357,3377,52,75,11/29/20
Los Angeles - Pacific Palisades,229,1076,4,19,11/29/20
Los Angeles - Pacoima,5713,7422,72,94,11/29/20
Los Angeles - Palisades Highlands,51,1326,0,0,11/29/20
Los Angeles - Palms,784,1787,32,73,11/29/20
Los Angeles - Panorama City,4559,6058,103,137,11/29/20
Los Angeles - Park La Brea,190,1399,1,7,11/29/20
Los Angeles - Pico-Union,2352,5621,96,229,11/29/20
Los Angeles - Playa Del Rey,46,1439,0,0,11/29/20
Los Angeles - Playa Vista,194,1772,0,0,11/29/20
Los Angeles - Porter Ranch,676,1900,8,22,11/29/20
Los Angeles - Rancho Park,121,1845,0,0,11/29/20
Los Angeles - Regent Square,44,1583,0,0,11/29/20
Los Angeles - Reseda,3752,4897,104,136,11/29/20
Los Angeles - Reseda Ranch,203,4379,1,22,11/29/20
Los Angeles - Reynier Village,64,1514,0,0,11/29/20
Los Angeles - San Pedro*,2535,3248,30,38,11/29/20
Los Angeles - Shadow Hills,122,2747,0,0,11/29/20
Los Angeles - Sherman Oaks,1845,2115,34,39,11/29/20
Los Angeles - Silverlake,996,2259,20,45,11/29/20
Los Angeles - South Carthay,192,1812,2,19,11/29/20
Los Angeles - South Park,2676,7049,33,87,11/29/20
Los Angeles - St Elmo Village,207,4516,8,175,11/29/20
Los Angeles - Studio City,413,1840,9,40,11/29/20
Los Angeles - Sun Valley,2764,5266,36,69,11/29/20
Los Angeles - Sunland,721,3533,32,157,11/29/20
Los Angeles - Sycamore Square,8,1236,0,0,11/29/20
Los Angeles - Sylmar*,5331,6470,101,123,11/29/20
Los Angeles - Tarzana,1147,3715,39,126,11/29/20
Los Angeles - Temple-Beaudry,1731,4384,31,79,11/29/20
Los Angeles - Thai Town,294,2997,3,31,11/29/20
Los Angeles - Toluca Lake,173,1988,2,23,11/29/20
Los Angeles - Toluca Terrace,35,2680,1,77,11/29/20
Los Angeles - Toluca Woods,36,1938,0,0,11/29/20
Los Angeles - Tujunga,870,3128,18,65,11/29/20
Los Angeles - University Hills,83,2421,1,29,11/29/20
Los Angeles - University Park,1496,5449,23,84,11/29/20
Los Angeles - Valley Glen,1135,3781,23,77,11/29/20
Los Angeles - Valley Village,728,2945,29,117,11/29/20
Los Angeles - Van Nuys*,4941,5302,108,116,11/29/20
Los Angeles - Venice,538,1588,3,9,11/29/20
Los Angeles - Vermont Knolls,936,5442,19,110,11/29/20
Los Angeles - Vermont Square,468,6112,6,78,11/29/20
Los Angeles - Vermont Vista,2561,6218,26,63,11/29/20
Los Angeles - Vernon Central,3983,7660,48,92,11/29/20
Los Angeles - Victoria Park,321,3822,3,36,11/29/20
Los Angeles - View Heights,71,1922,3,81,11/29/20
Los Angeles - Watts,2614,6126,39,91,11/29/20
Los Angeles - Wellington Square,184,3744,2,41,11/29/20
Los Angeles - West Adams,1253,4535,45,163,11/29/20
Los Angeles - West Hills,898,2215,43,106,11/29/20
Los Angeles - West Los Angeles,761,2022,19,50,11/29/20
Los Angeles - West Vernon,3227,6016,59,110,11/29/20
Los Angeles - Westchester,702,1360,17,33,11/29/20
Los Angeles - Westlake,3084,5196,154,259,11/29/20
Los Angeles - Westwood,773,1429,6,11,11/29/20
Los Angeles - Wholesale District*,3005,8317,36,100,11/29/20
Los Angeles - Wilmington,2499,4424,29,51,11/29/20
Los Angeles - Wilshire Center,1590,3169,39,78,11/29/20
Los Angeles - Winnetka,2146,4144,28,54,11/29/20
Los Angeles - Woodland Hills,1587,2332,36,53,11/29/20
Unincorporated - Acton,114,1430,3,38,11/29/20
Unincorporated - Agua Dulce,61,1467,0,0,11/29/20
Unincorporated - Altadena,1012,2320,20,46,11/29/20
Unincorporated - Anaverde,48,3183,0,0,11/29/20
Unincorporated - Angeles National Forest,8,643,0,0,11/29/20
Unincorporated - Arcadia,147,1842,3,38,11/29/20
Unincorporated - Athens-Westmont,2091,4927,34,80,11/29/20
Unincorporated - Athens Village,360,7351,11,225,11/29/20
Unincorporated - Avocado Heights,398,5875,4,59,11/29/20
Unincorporated - Azusa,769,4829,7,44,11/29/20
Unincorporated - Bassett,930,6277,10,67,11/29/20
Unincorporated - Bouquet Canyon,16,1491,1,93,11/29/20
Unincorporated - Bradbury,8,7407,1,926,11/29/20
Unincorporated - Canyon Country,234,3028,1,13,11/29/20
Unincorporated - Castaic*,2418,8893,5,18,11/29/20
Unincorporated - Cerritos,29,4940,0,0,11/29/20
Unincorporated - Charter Oak,0,0,0,0,11/29/20
Unincorporated - Claremont,28,3989,4,570,11/29/20
Unincorporated - Covina,715,4251,9,54,11/29/20
Unincorporated - Covina (Charter Oak),492,3743,4,30,11/29/20
Unincorporated - Del Aire,97,2208,2,46,11/29/20
Unincorporated - Del Rey,9,2830,0,0,11/29/20
Unincorporated - Del Sur,40,1656,1,41,11/29/20
Unincorporated - Desert View Highlands,97,3891,1,40,11/29/20
Unincorporated - Duarte,281,6346,4,90,11/29/20
Unincorporated - East Covina,9,2736,0,0,11/29/20
Unincorporated - East La Mirada,170,3212,1,19,11/29/20
Unincorporated - East Lancaster,2,1754,0,0,11/29/20
Unincorporated - East Los Angeles,8897,7102,129,103,11/29/20
Unincorporated - East Pasadena,110,1718,2,31,11/29/20
Unincorporated - East Rancho Dominguez,905,5912,18,118,11/29/20
Unincorporated - East Whittier,136,2563,0,0,11/29/20
Unincorporated - El Camino Village,219,2491,3,34,11/29/20
Unincorporated - El Monte,7,4828,0,0,11/29/20
Unincorporated - Elizabeth Lake,16,963,0,0,11/29/20
Unincorporated - Florence-Firestone,4810,7434,60,93,11/29/20
Unincorporated - Franklin Canyon,0,0,0,0,11/29/20
Unincorporated - Glendora,19,2879,0,0,11/29/20
Unincorporated - Hacienda Heights,1627,2909,19,34,11/29/20
Unincorporated - Harbor Gateway,0,0,0,0,11/29/20
Unincorporated - Hawthorne,92,3660,0,0,11/29/20
Unincorporated - Hi Vista,12,1093,0,0,11/29/20
Unincorporated - Kagel/Lopez Canyons,55,3895,1,71,11/29/20
Unincorporated - La Crescenta-Montrose,342,1727,3,15,11/29/20
Unincorporated - La Habra Heights,10,1479,0,0,11/29/20
Unincorporated - La Rambla,96,4627,15,723,11/29/20
Unincorporated - La Verne*,53,2598,0,0,11/29/20
Unincorporated - Ladera Heights,138,1952,3,42,11/29/20
Unincorporated - Lake Hughes,10,1497,0,0,11/29/20
Unincorporated - Lake Los Angeles,462,3555,4,31,11/29/20
Unincorporated - Lake Manor,33,2009,1,61,11/29/20
Unincorporated - Lakewood,0,0,0,0,11/29/20
Unincorporated - Lennox,1008,4472,7,31,11/29/20
Unincorporated - Leona Valley,28,1599,0,0,11/29/20
Unincorporated - Littlerock,141,3507,1,25,11/29/20
Unincorporated - Littlerock/Juniper Hills,31,2390,0,0,11/29/20
Unincorporated - Littlerock/Pearblossom,145,4063,0,0,11/29/20
Unincorporated - Llano,7,798,0,0,11/29/20
Unincorporated - Marina del Rey,122,1296,0,0,11/29/20
Unincorporated - Miracle Mile,0,0,0,0,11/29/20
Unincorporated - Monrovia,101,2602,0,0,11/29/20
Unincorporated - Newhall,36,16364,0,0,11/29/20
Unincorporated - North Lancaster,48,4007,1,83,11/29/20
Unincorporated - North Whittier,338,4043,10,120,11/29/20
Unincorporated - Northeast San Gabriel,538,2238,19,79,11/29/20
Unincorporated - Padua Hills,3,1395,0,0,11/29/20
Unincorporated - Palmdale,29,3444,0,0,11/29/20
Unincorporated - Palos Verdes Peninsula,7,1127,0,0,11/29/20
Unincorporated - Pearblossom/Llano,30,1534,1,51,11/29/20
Unincorporated - Pellissier Village,54,8724,0,0,11/29/20
Unincorporated - Placerita Canyon,0,0,0,0,11/29/20
Unincorporated - Pomona,23,1187,1,52,11/29/20
Unincorporated - Quartz Hill,347,2689,12,93,11/29/20
Unincorporated - Rancho Dominguez,113,4247,1,38,11/29/20
Unincorporated - Roosevelt,30,3222,0,0,11/29/20
Unincorporated - Rosewood,48,3733,1,78,11/29/20
Unincorporated - Rosewood/East Gardena,50,4191,1,84,11/29/20
Unincorporated - Rosewood/West Rancho Dominguez,154,4582,1,30,11/29/20
Unincorporated - Rowland Heights,1078,2113,19,37,11/29/20
Unincorporated - San Clemente Island,0,0,0,0,11/29/20
Unincorporated - San Francisquito Canyon/Bouquet Canyon,3,350,0,0,11/29/20
Unincorporated - San Jose Hills,1195,5910,20,99,11/29/20
Unincorporated - San Pasqual,13,639,0,0,11/29/20
Unincorporated - Sand Canyon,7,2273,0,0,11/29/20
Unincorporated - Santa Catalina Island,37,13858,0,0,11/29/20
Unincorporated - Santa Monica Mountains*,184,988,1,5,11/29/20
Unincorporated - Saugus,50,32258,0,0,11/29/20
Unincorporated - Saugus/Canyon Country,14,3933,0,0,11/29/20
Unincorporated - South Antelope Valley,8,1758,0,0,11/29/20
Unincorporated - South El Monte,128,7131,0,0,11/29/20
Unincorporated - South San Gabriel,283,3198,9,102,11/29/20
Unincorporated - South Whittier,2808,4741,40,68,11/29/20
Unincorporated - Southeast Antelope Valley,22,2817,0,0,11/29/20
Unincorporated - Stevenson Ranch,311,1483,3,14,11/29/20
Unincorporated - Sun Village,269,4457,3,50,11/29/20
Unincorporated - Sunrise Village,76,5864,0,0,11/29/20
Unincorporated - Twin Lakes/Oat Mountain,20,1206,2,121,11/29/20
Unincorporated - Val Verde,122,3687,1,30,11/29/20
Unincorporated - Valencia,65,2116,1,33,11/29/20
Unincorporated - Valinda,1229,5259,12,51,11/29/20
Unincorporated - View Park/Windsor Hills,230,1977,3,26,11/29/20
Unincorporated - Walnut Park,975,6040,17,105,11/29/20
Unincorporated - West Antelope Valley,7,463,0,0,11/29/20
Unincorporated - West Carson,633,2866,49,222,11/29/20
Unincorporated - West Chatsworth,1,8333,0,0,11/29/20
Unincorporated - West LA,50,5252,2,210,11/29/20
Unincorporated - West Puente Valley,589,5989,4,41,11/29/20
Unincorporated - West Rancho Dominguez,29,2134,3,221,11/29/20
Unincorporated - West Whittier/Los Nietos,1499,5567,19,71,11/29/20
Unincorporated - Westfield/Academy Hills,13,1000,0,0,11/29/20
Unincorporated - Westhills,22,2622,0,0,11/29/20
Unincorporated - White Fence Farms,102,2769,0,0,11/29/20
Unincorporated - Whittier,100,2643,3,79,11/29/20
Unincorporated - Whittier Narrows,5,41667,0,0,11/29/20
Unincorporated - Willowbrook,2040,5843,26,74,11/29/20
Unincorporated - Wiseburn,172,2854,1,17,11/29/20
- Under Investigation,5001,,7,,11/29/20
Pasadena,3711,,,,11/30/20
City of Agoura Hills,296,1417,7,34,11/30/20
City of Alhambra,1955,2254,35,40,11/30/20
City of Arcadia,818,1416,45,78,11/30/20
City of Artesia,603,3590,13,77,11/30/20
City of Avalon,5,129,0,0,11/30/20
City of Azusa,2224,4444,28,56,11/30/20
City of Baldwin Park,4497,5858,111,145,11/30/20
City of Bell,2265,6234,47,129,11/30/20
City of Bell Gardens,2940,6826,30,70,11/30/20
City of Bellflower,3439,4424,66,85,11/30/20
City of Beverly Hills,1009,2923,11,32,11/30/20
City of Bradbury,24,2245,0,0,11/30/20
City of Burbank,2795,2608,94,88,11/30/20
City of Calabasas,436,1793,14,58,11/30/20
City of Carson,2763,2944,65,69,11/30/20
City of Cerritos,862,1722,17,34,11/30/20
City of Claremont,717,1965,10,27,11/30/20
City of Commerce*,898,6871,14,107,11/30/20
City of Compton,5786,5792,82,82,11/30/20
City of Covina,2089,4260,61,124,11/30/20
City of Cudahy,1625,6674,19,78,11/30/20
City of Culver City,648,1625,31,78,11/30/20
City of Diamond Bar,957,1664,16,28,11/30/20
City of Downey,6247,5467,97,85,11/30/20
City of Duarte,811,3684,36,164,11/30/20
City of El Monte,6367,5429,183,156,11/30/20
City of El Segundo,197,1174,1,6,11/30/20
City of Gardena,1757,2866,59,96,11/30/20
City of Glendale,6385,3092,194,94,11/30/20
City of Glendora,1790,3392,80,152,11/30/20
City of Hawaiian Gardens,742,5056,3,20,11/30/20
City of Hawthorne,2976,3352,54,61,11/30/20
City of Hermosa Beach,356,1810,4,20,11/30/20
City of Hidden Hills,29,1534,0,0,11/30/20
City of Huntington Park,4052,6812,67,113,11/30/20
City of Industry,53,12128,2,458,11/30/20
City of Inglewood,4229,3723,95,84,11/30/20
City of Irwindale,97,6648,2,137,11/30/20
City of La Canada Flintridge,267,1290,6,29,11/30/20
City of La Habra Heights,69,1265,1,18,11/30/20
City of La Mirada,1320,2661,28,56,11/30/20
City of La Puente,2298,5647,28,69,11/30/20
City of La Verne,847,2545,15,45,11/30/20
City of Lakewood,1969,2450,15,19,11/30/20
City of Lancaster*,6551,4055,73,45,11/30/20
City of Lawndale,1014,3017,13,39,11/30/20
City of Lomita,332,1602,10,48,11/30/20
City of Lynwood*,4757,6603,113,157,11/30/20
City of Malibu,157,1211,3,23,11/30/20
City of Manhattan Beach,540,1500,5,14,11/30/20
City of Maywood,1912,6817,39,139,11/30/20
City of Monrovia,1136,2928,40,103,11/30/20
City of Montebello,3518,5465,55,85,11/30/20
City of Monterey Park,1382,2220,57,92,11/30/20
City of Norwalk,5172,4806,96,89,11/30/20
City of Palmdale,7909,4975,84,53,11/30/20
City of Palos Verdes Estates,142,1050,2,15,11/30/20
City of Paramount,3460,6176,32,57,11/30/20
City of Pico Rivera,3734,5809,87,135,11/30/20
City of Pomona,8696,5577,155,99,11/30/20
City of Rancho Palos Verdes,434,1015,12,28,11/30/20
City of Redondo Beach,928,1351,14,20,11/30/20
City of Rolling Hills,15,773,0,0,11/30/20
City of Rolling Hills Estates,69,850,3,37,11/30/20
City of Rosemead,1402,2533,33,60,11/30/20
City of San Dimas*,958,2776,14,41,11/30/20
City of San Fernando,1688,6858,22,89,11/30/20
City of San Gabriel,1059,2586,92,225,11/30/20
City of San Marino,127,957,3,23,11/30/20
City of Santa Clarita,6396,2902,68,31,11/30/20
City of Santa Fe Springs,853,4645,10,54,11/30/20
City of Santa Monica,1516,1640,45,49,11/30/20
City of Sierra Madre,131,1192,4,36,11/30/20
City of Signal Hill,404,3425,4,34,11/30/20
City of South El Monte,1242,5947,17,81,11/30/20
City of South Gate,6408,6528,81,83,11/30/20
City of South Pasadena,414,1589,26,100,11/30/20
City of Temple City,766,2101,46,126,11/30/20
City of Torrance,2102,1408,77,52,11/30/20
City of Vernon,22,10526,0,0,11/30/20
City of Walnut,517,1693,5,16,11/30/20
City of West Covina,4344,4013,73,67,11/30/20
City of West Hollywood,947,2563,9,24,11/30/20
City of Westlake Village,55,658,0,0,11/30/20
City of Whittier,3699,4231,60,69,11/30/20
Los Angeles,167144,4133,3234,80,11/30/20
Los Angeles - Adams-Normandie,401,4889,5,61,11/30/20
Los Angeles - Alsace,543,4363,3,24,11/30/20
Los Angeles - Angeles National Forest,2,5000,0,0,11/30/20
Los Angeles - Angelino Heights,96,3837,1,40,11/30/20
Los Angeles - Arleta,2403,6992,28,81,11/30/20
Los Angeles - Atwater Village,418,2850,8,55,11/30/20
Los Angeles - Baldwin Hills,883,2837,29,93,11/30/20
Los Angeles - Bel Air,132,1566,0,0,11/30/20
Los Angeles - Beverly Crest,209,1669,2,16,11/30/20
Los Angeles - Beverlywood,254,1928,0,0,11/30/20
Los Angeles - Boyle Heights*,6135,7061,83,96,11/30/20
Los Angeles - Brentwood,521,1683,6,19,11/30/20
Los Angeles - Brookside,6,1033,0,0,11/30/20
Los Angeles - Cadillac-Corning,203,2851,1,14,11/30/20
Los Angeles - Canoga Park,3159,4838,68,104,11/30/20
Los Angeles - Carthay,358,2493,17,118,11/30/20
Los Angeles - Central,2934,7525,45,115,11/30/20
Los Angeles - Century City,204,1595,0,0,11/30/20
Los Angeles - Century Palms/Cove,2117,6270,23,68,11/30/20
Los Angeles - Chatsworth,1194,3222,37,100,11/30/20
Los Angeles - Cheviot Hills,145,1581,3,33,11/30/20
Los Angeles - Chinatown,236,2942,4,50,11/30/20
Los Angeles - Cloverdale/Cochran,466,3202,5,34,11/30/20
Los Angeles - Country Club Park,533,3517,37,244,11/30/20
Los Angeles - Crenshaw District,478,3457,5,36,11/30/20
Los Angeles - Crestview,288,2533,22,194,11/30/20
Los Angeles - Del Rey,604,2018,9,30,11/30/20
Los Angeles - Downtown*,1324,4813,17,62,11/30/20
Los Angeles - Eagle Rock,1096,2768,28,71,11/30/20
Los Angeles - East Hollywood,972,3319,47,160,11/30/20
Los Angeles - Echo Park,440,3086,6,42,11/30/20
Los Angeles - El Sereno,1954,4674,39,93,11/30/20
Los Angeles - Elysian Park,151,2644,0,0,11/30/20
Los Angeles - Elysian Valley,398,3913,5,49,11/30/20
Los Angeles - Encino,1151,2548,23,51,11/30/20
Los Angeles - Exposition,99,2977,2,60,11/30/20
Los Angeles - Exposition Park,1992,4435,27,60,11/30/20
Los Angeles - Faircrest Heights,58,1611,2,56,11/30/20
Los Angeles - Figueroa Park Square,462,5298,5,57,11/30/20
Los Angeles - Florence-Firestone,3260,6871,39,82,11/30/20
Los Angeles - Glassell Park,1056,3341,15,47,11/30/20
Los Angeles - Gramercy Place,367,3410,6,56,11/30/20
Los Angeles - Granada Hills,2148,3691,72,124,11/30/20
Los Angeles - Green Meadows,1289,5994,15,70,11/30/20
Los Angeles - Hancock Park,354,2078,4,23,11/30/20
Los Angeles - Harbor City,729,2508,12,41,11/30/20
Los Angeles - Harbor Gateway,1444,3312,18,41,11/30/20
Los Angeles - Harbor Pines,43,1785,0,0,11/30/20
Los Angeles - Harvard Heights,778,4314,25,139,11/30/20
Los Angeles - Harvard Park,2233,5886,27,71,11/30/20
Los Angeles - Highland Park,1808,3736,25,52,11/30/20
Los Angeles - Historic Filipinotown,648,4672,16,115,11/30/20
Los Angeles - Hollywood,1946,2851,19,28,11/30/20
Los Angeles - Hollywood Hills,581,1974,7,24,11/30/20
Los Angeles - Hyde Park,1125,3942,15,53,11/30/20
Los Angeles - Jefferson Park,401,4967,1,12,11/30/20
Los Angeles - Koreatown,1669,3229,36,70,11/30/20
Los Angeles - Lafayette Square,165,3619,3,66,11/30/20
Los Angeles - Lake Balboa,1717,4068,22,52,11/30/20
Los Angeles - Lakeview Terrace,845,6434,26,198,11/30/20
Los Angeles - Leimert Park,491,3223,8,53,11/30/20
Los Angeles - Lincoln Heights,1592,4884,52,160,11/30/20
Los Angeles - Little Armenia,477,5944,53,660,11/30/20
Los Angeles - Little Bangladesh,778,2745,7,25,11/30/20
Los Angeles - Little Tokyo,142,4532,2,64,11/30/20
Los Angeles - Longwood,161,3741,0,0,11/30/20
Los Angeles - Los Feliz,381,1763,3,14,11/30/20
Los Angeles - Manchester Square,285,3339,6,70,11/30/20
Los Angeles - Mandeville Canyon,42,1344,0,0,11/30/20
Los Angeles - Mar Vista,553,1302,7,16,11/30/20
Los Angeles - Marina Peninsula,58,1330,1,23,11/30/20
Los Angeles - Melrose,2903,3736,82,106,11/30/20
Los Angeles - Mid-city,390,2595,22,146,11/30/20
Los Angeles - Miracle Mile,310,1724,6,33,11/30/20
Los Angeles - Mission Hills,1422,5895,58,240,11/30/20
Los Angeles - Mt. Washington,834,3454,19,79,11/30/20
Los Angeles - North Hills,3061,4971,52,84,11/30/20
Los Angeles - North Hollywood,6622,4373,88,58,11/30/20
Los Angeles - Northridge,2420,3467,52,75,11/30/20
Los Angeles - Pacific Palisades,235,1104,4,19,11/30/20
Los Angeles - Pacoima,5892,7654,73,95,11/30/20
Los Angeles - Palisades Highlands,54,1404,0,0,11/30/20
Los Angeles - Palms,799,1821,32,73,11/30/20
Los Angeles - Panorama City,4681,6221,103,137,11/30/20
Los Angeles - Park La Brea,193,1421,1,7,11/30/20
Los Angeles - Pico-Union,2386,5702,97,232,11/30/20
Los Angeles - Playa Del Rey,47,1471,0,0,11/30/20
Los Angeles - Playa Vista,197,1800,0,0,11/30/20
Los Angeles - Porter Ranch,696,1956,8,22,11/30/20
Los Angeles - Rancho Park,124,1890,0,0,11/30/20
Los Angeles - Regent Square,44,1583,0,0,11/30/20
Los Angeles - Reseda,3828,4996,104,136,11/30/20
Los Angeles - Reseda Ranch,208,4487,1,22,11/30/20
Los Angeles - Reynier Village,64,1514,0,0,11/30/20
Los Angeles - San Pedro*,2571,3295,30,38,11/30/20
Los Angeles - Shadow Hills,125,2814,0,0,11/30/20
Los Angeles - Sherman Oaks,1885,2160,34,39,11/30/20
Los Angeles - Silverlake,1009,2289,20,45,11/30/20
Los Angeles - South Carthay,195,1840,2,19,11/30/20
Los Angeles - South Park,2722,7171,33,87,11/30/20
Los Angeles - St Elmo Village,212,4625,8,175,11/30/20
Los Angeles - Studio City,421,1876,9,40,11/30/20
Los Angeles - Sun Valley,2838,5407,36,69,11/30/20
Los Angeles - Sunland,735,3602,32,157,11/30/20
Los Angeles - Sycamore Square,8,1236,0,0,11/30/20
Los Angeles - Sylmar*,5465,6632,101,123,11/30/20
Los Angeles - Tarzana,1167,3780,39,126,11/30/20
Los Angeles - Temple-Beaudry,1761,4460,32,81,11/30/20
Los Angeles - Thai Town,295,3007,3,31,11/30/20
Los Angeles - Toluca Lake,178,2045,2,23,11/30/20
Los Angeles - Toluca Terrace,36,2757,1,77,11/30/20
Los Angeles - Toluca Woods,36,1938,0,0,11/30/20
Los Angeles - Tujunga,884,3179,18,65,11/30/20
Los Angeles - University Hills,83,2421,1,29,11/30/20
Los Angeles - University Park,1512,5507,24,87,11/30/20
Los Angeles - Valley Glen,1174,3911,23,77,11/30/20
Los Angeles - Valley Village,738,2985,29,117,11/30/20
Los Angeles - Van Nuys*,5042,5410,108,116,11/30/20
Los Angeles - Venice,549,1620,3,9,11/30/20
Los Angeles - Vermont Knolls,952,5535,19,110,11/30/20
Los Angeles - Vermont Square,482,6295,6,78,11/30/20
Los Angeles - Vermont Vista,2604,6323,26,63,11/30/20
Los Angeles - Vernon Central,4044,7777,48,92,11/30/20
Los Angeles - Victoria Park,326,3881,3,36,11/30/20
Los Angeles - View Heights,73,1976,3,81,11/30/20
Los Angeles - Watts,2662,6238,39,91,11/30/20
Los Angeles - Wellington Square,190,3866,2,41,11/30/20
Los Angeles - West Adams,1284,4647,45,163,11/30/20
Los Angeles - West Hills,918,2264,43,106,11/30/20
Los Angeles - West Los Angeles,774,2057,19,50,11/30/20
Los Angeles - West Vernon,3280,6114,59,110,11/30/20
Los Angeles - Westchester,721,1397,19,37,11/30/20
Los Angeles - Westlake,3110,5240,154,259,11/30/20
Los Angeles - Westwood,799,1477,6,11,11/30/20
Los Angeles - Wholesale District*,3041,8417,36,100,11/30/20
Los Angeles - Wilmington,2525,4470,29,51,11/30/20
Los Angeles - Wilshire Center,1623,3235,39,78,11/30/20
Los Angeles - Winnetka,2199,4246,29,56,11/30/20
Los Angeles - Woodland Hills,1622,2383,36,53,11/30/20
Unincorporated - Acton,119,1493,3,38,11/30/20
Unincorporated - Agua Dulce,61,1467,0,0,11/30/20
Unincorporated - Altadena,1030,2361,20,46,11/30/20
Unincorporated - Anaverde,48,3183,0,0,11/30/20
Unincorporated - Angeles National Forest,8,643,0,0,11/30/20
Unincorporated - Arcadia,150,1879,3,38,11/30/20
Unincorporated - Athens-Westmont,2120,4995,34,80,11/30/20
Unincorporated - Athens Village,372,7596,12,245,11/30/20
Unincorporated - Avocado Heights,405,5978,4,59,11/30/20
Unincorporated - Azusa,785,4930,7,44,11/30/20
Unincorporated - Bassett,945,6378,10,67,11/30/20
Unincorporated - Bouquet Canyon,16,1491,1,93,11/30/20
Unincorporated - Bradbury,8,7407,1,926,11/30/20
Unincorporated - Canyon Country,243,3144,1,13,11/30/20
Unincorporated - Castaic*,2427,8926,5,18,11/30/20
Unincorporated - Cerritos,29,4940,0,0,11/30/20
Unincorporated - Charter Oak,0,0,0,0,11/30/20
Unincorporated - Claremont,28,3989,4,570,11/30/20
Unincorporated - Covina,723,4299,9,54,11/30/20
Unincorporated - Covina (Charter Oak),501,3812,4,30,11/30/20
Unincorporated - Del Aire,103,2345,2,46,11/30/20
Unincorporated - Del Rey,9,2830,0,0,11/30/20
Unincorporated - Del Sur,43,1781,1,41,11/30/20
Unincorporated - Desert View Highlands,98,3931,1,40,11/30/20
Unincorporated - Duarte,286,6459,4,90,11/30/20
Unincorporated - East Covina,9,2736,0,0,11/30/20
Unincorporated - East La Mirada,171,3231,1,19,11/30/20
Unincorporated - East Lancaster,2,1754,0,0,11/30/20
Unincorporated - East Los Angeles,9069,7240,129,103,11/30/20
Unincorporated - East Pasadena,112,1749,2,31,11/30/20
Unincorporated - East Rancho Dominguez,917,5990,18,118,11/30/20
Unincorporated - East Whittier,138,2601,0,0,11/30/20
Unincorporated - El Camino Village,222,2525,3,34,11/30/20
Unincorporated - El Monte,7,4828,0,0,11/30/20
Unincorporated - Elizabeth Lake,16,963,0,0,11/30/20
Unincorporated - Florence-Firestone,4865,7519,60,93,11/30/20
Unincorporated - Franklin Canyon,0,0,0,0,11/30/20
Unincorporated - Glendora,19,2879,0,0,11/30/20
Unincorporated - Hacienda Heights,1651,2952,19,34,11/30/20
Unincorporated - Harbor Gateway,0,0,0,0,11/30/20
Unincorporated - Hawthorne,93,3699,0,0,11/30/20
Unincorporated - Hi Vista,12,1093,0,0,11/30/20
Unincorporated - Kagel/Lopez Canyons,58,4108,1,71,11/30/20
Unincorporated - La Crescenta-Montrose,349,1763,3,15,11/30/20
Unincorporated - La Habra Heights,10,1479,0,0,11/30/20
Unincorporated - La Rambla,97,4675,15,723,11/30/20
Unincorporated - La Verne*,55,2696,0,0,11/30/20
Unincorporated - Ladera Heights,142,2008,3,42,11/30/20
Unincorporated - Lake Hughes,11,1647,0,0,11/30/20
Unincorporated - Lake Los Angeles,470,3617,4,31,11/30/20
Unincorporated - Lake Manor,33,2009,1,61,11/30/20
Unincorporated - Lakewood,0,0,0,0,11/30/20
Unincorporated - Lennox,1030,4569,7,31,11/30/20
Unincorporated - Leona Valley,28,1599,0,0,11/30/20
Unincorporated - Littlerock,144,3581,1,25,11/30/20
Unincorporated - Littlerock/Juniper Hills,32,2467,0,0,11/30/20
Unincorporated - Littlerock/Pearblossom,146,4091,0,0,11/30/20
Unincorporated - Llano,10,1140,0,0,11/30/20
Unincorporated - Marina del Rey,126,1339,0,0,11/30/20
Unincorporated - Miracle Mile,0,0,0,0,11/30/20
Unincorporated - Monrovia,104,2680,0,0,11/30/20
Unincorporated - Newhall,36,16364,0,0,11/30/20
Unincorporated - North Lancaster,48,4007,1,83,11/30/20
Unincorporated - North Whittier,341,4079,10,120,11/30/20
